4U 0142+61   0146+6145  1 51141.      248.         650.    150.       14.        5.      47
B1338-62     1341-6220  1 47989.       21.        1509.      1.        0.2        .1     54
B1338-62     1341-6220  2 48453.       12.          23.      7.       -0.5        .1     54
B1338-62     1341-6220  3 48645.       10.         996.      3.        0.7        .1     54
B1338-62     1341-6220  4 49134.       22.          13.2     1.3       0.6        .2     54
B1338-62     1341-6220  5 49363.      130.         146.     38.        0.7        .2     54
B1338-62     1341-6220  6 49523.       17.          37.     35.       -0.6        .1     54
B1338-62     1341-6220  7 49766.        2.          15.      2.       -0.3        .1     54
B1338-62     1341-6220  8 49904.       16.          31.      1.       -1.9        .4     54
B1338-62     1341-6220  9 50008.       16.        1648.      3.        3.3        .4     54
B1338-62     1341-6220 10 50322.        1.          30.      1.        0.6        .1     54
B1338-62     1341-6220 11 50529.        1.          23.      1.        1.0        .4     54
B1338-62     1341-6220 12 50683.       13.         708.      1.        1.2        .3     54
J1357-6429   1357-6429  1 52021.        8.        2428.      1.        6.3        .1     60, also in 3
B1508+55     1509+5531  1 41732.       58.           0.2      .1      -6.        1.      41
B1530+27     1532+2745  1 49732.        3.           0.29     .04     -1.        2.      60
B1535-56     1539-5626  1 48165.       15.        2793.      1.        1.        1.      26
B1610-50     1614-5048  1 49803.       16.        6460.     80.        9.7        .2     54
J1617-5055   1617-5055  1 46960.      760.         600.      5.                          52
B1641-45     1644-4559  1 43390.       63.         191.      1.        2.        1.      42
B1641-45     1644-4559  2 46453.       35.         803.6      .1       0.5        .3     19
B1641-45     1644-4559  3 47589.        4.           1.61     .04      1.1        .1     19
CXO J1647  c 1647-4552  1 53999.                 65000.   3000.                          23
B1702-19     1705-1906  1 48902.1        .5          0.4      .1       1.        1.      60
J1705-3423   1705-3423  1 51956.        1.           0.59     .04      0.7        .5     60
J1705-3423   1705-3423  2 54408.        2.           0.57     .04      3.        1.      60
B1706-44     1709-4429  1 48775.       15.        2057.      2.        4.0        .1     26
1RXS J1708 d 1708-4009  1 51445.                   561.     33.        5.        3.      9
1RXS J1708   1708-4009  2 52016.                  4202.     44.      620.        1.      9
1RXS J1708 a 1708-4009  3 52990.                   308.     44.        0.0               9
1RXS J1708 a 1708-4009  4 53366.                   572.     66.       12.        8.      9
1RXS J1708   1708-4009  5 53549.                  2707.     99.       12.       12.      9
1RXS J1708 a 1708-4009  6 53636.                   737.     33.      -36.        3.      9
B1717-16     1720-1633  1 51169.        1.           1.5      .2       8.        3.      60
B1718-35     1721-3532  1 49971.        2.           7.5      .3       0.3        .4     60
B1727-33     1730-3350  1 48000.       10.        3033.      8.        4.        6.      26
B1727-33     1730-3350  2 52107.       19.        3202.      1.        5.9        .1     60
B1727-47     1731-4744  1 49387.2        .1        137.      1.        1.5        .4     60, also in 7
B1727-47     1731-4744  2 50718.1        .1          4.4      .2       4.0        .5     60, also in 54
B1727-47     1731-4744  3 52472.70       .02       126.4      .3       3.4        .2     60
B1736-29     1739-2903  1 46965.        1.           3.3      .2       1.7       1.0     60, also in 51
B1737-30     1740-3015  1 46991.       19.         421.      4.        3.4        .2     60, also in 45, 59
B1737-30     1740-3015  2 47289.        7.          31.      5.       11.       12.      60, also in 45, 59
B1737-30     1740-3015  3 47337.       27.           7.      4.        3.       12.      60, also in 45, 59
B1737-30     1740-3015  4 47466.        8.          26.      2.        0.        3.      60, also in 45, 59
B1737-30     1740-3015  5 47670.22       .01       600.      1.        3.        1.      60, also in 45, 59
B1737-30     1740-3015  6 48158.        1.          10.      1.       12.        2.      60
B1737-30     1740-3015  7 48191.691      .004      659.      7.       57.       13.      60, also in 51, 59
B1737-30     1740-3015  8 48218.        2.          48.     10.        8.       12.      60, also in 51, 59
B1737-30     1740-3015  9 48431.3        .4         16.      2.        3.        2.      60, also in 51, 59
B1737-30     1740-3015 10 49047.5        .5         17.      1.        2.        1.      60, also in 51, 59
B1737-30     1740-3015 11 49239.07       .02       169.7      .2       1.3        .2     60, also in 51, 59
B1737-30     1740-3015 12 49459.        2.          10.      1.        2.        1.      60, also in 29, 59
B1737-30     1740-3015 13 49542.3        .1          6.      1.        1.        1.      60, also in 29, 59
B1737-30     1740-3015 14 50574.83       .01       442.5      .3       2.4        .1     60, also in 29, 59
B1737-30     1740-3015 15 50939.        6.        1444.      1.        1.8        .1     60, also in 29, 53
B1737-30     1740-3015 16 51685.       21.           0.7      .4       0.1        .1     25
B1737-30     1740-3015 17 51827.        2.           0.9      .3       0.1        .2     60, also in 25
B1737-30     1740-3015 18 52048.        9.           2.      3.        1.        2.      60, also in 25
B1737-30     1740-3015 19 52245.        2.           4.      1.       -1.        2.      60, also in 25, 59
B1737-30     1740-3015 20 52266.0        .2         16.      1.       -3.        1.      60, also in 25, 59
B1737-30     1740-3015 21 52346.6        .1        158.0      .4       1.        1.      60, also in 25, 59
B1737-30     1740-3015 22 52576.        3.           0.9      .2      -0.1        .1     60, also in 25
B1737-30     1740-3015 23 52779.7        .4          1.7      .2      -0.1        .2     60, also in 25
B1737-30     1740-3015 24 52858.78       .03        18.6      .3       1.4        .4     60, also in 25, 59
B1737-30     1740-3015 25 52942.5        .1         20.2      .2       1.5        .3     60, also in 25, 59
